Ticker,Company,Sector,Country,MarketCap,TotalDebt,Revenue,EBITDA,Debt_to_EBITDA,EBITDA_Margin,Debt_to_Revenue,Volatility_1Y,Max_Drawdown_1Y,sector_shock,Stress_EBITDA,Stress_Debt_to_EBITDA,Debt_EBITDA_change
ADS.DE,adidas AG                     N,Consumer Cyclical,Germany,31213412352.0,5952000000.0,25250000896.0,2469499904.0,2.410204588531946,0.097801972925522,0.2357227639125704,0.3351115740476218,-0.383655189153983,0.3,1728649932.8,3.4431494121884945,1.0329448236565484
PUM.DE,PUMA SE                       I,Consumer Cyclical,Germany,3924589568.0,2892300032.0,7170200064.0,9950000.0,290.6834203015075,0.0013876879182153,0.4033778703779275,0.6046518922359811,-0.3725131770071476,0.3,6965000.0,415.2620290021536,124.5786087006461
EL.PA,ESSILORLUXOTTICA,Healthcare,France,77591699456.0,14398000128.0,28490999808.0,5569999872.0,2.5849192924362066,0.1955003302634538,0.5053525753756518,0.3077664916766233,-0.4704683085732977,0.1,5012999884.8,2.8721325471513404,0.2872132547151338
KER.PA,KERING,Consumer Cyclical,France,32537044992.0,18563999744.0,14675000320.0,2543000064.0,7.3000390392440035,0.1732879051821376,1.2650084728584183,0.3977929426380424,-0.3385779899123313,0.3,1780100044.8,10.428627198920006,3.128588159676003
ASML.AS,ASML HOLDING,Technology,Netherlands,598862004224.0,2705600000.0,33692700672.0,12704400384.0,0.2129655802888146,0.3770668462489227,0.080302259719075,0.4089152811600455,-0.1580902812660347,0.25,9528300288.0,0.2839541070517529,0.07098852676293829
SAP.DE,SAP SE                        I,Technology,Germany,157457006592.0,7862000128.0,37341999104.0,11603999744.0,0.6775250173600831,0.3107492909440138,0.2105404187414765,0.3769048463079963,-0.4941156263770702,0.25,8702999808.0,0.9033666898134441,0.22584167245336106
NOKIA.HE,Nokia Corporation,Technology,Finland,68748902400.0,3324999936.0,19996000256.0,2536999936.0,1.3106030823329118,0.1268753702500452,0.1662832513218387,0.5068989251511536,-0.2332839184550232,0.25,1902749952.0,1.7474707764438824,0.4368676941109706
ERIC-B.ST,"Ericsson, Telefonab. L M ser. B",Technology,Sweden,361499492352.0,39289999360.0,230988005376.0,35869999104.0,1.0953443083754808,0.1552894447727325,0.1700954094826011,0.329167040310507,-0.144214306379209,0.25,26902499328.0,1.4604590778339746,0.36511476945849375
PRX.AS,PROSUS,Consumer Cyclical,Netherlands,81902551040.0,17816999936.0,6830000128.0,416000000.0,42.82932676923077,0.0609077587414065,2.608638301917174,0.3178256308087805,-0.4057436473362282,0.3,291200000.0,61.184752527472526,18.355425758241758
VNA.DE,Vonovia SE                    N,Real Estate,Germany,17638760448.0,41817198592.0,5940499968.0,2311099904.0,18.09406790231081,0.3890413124230825,7.039339923787371,0.2737081462896875,-0.3096132741745585,0.2,1848879923.2,22.617584877888515,4.523516975577703
LEG.DE,LEG Immobilien SE             N,Real Estate,Germany,4113824000.0,9752500224.0,1472600064.0,501700000.0,19.43890816025513,0.3406899213607531,6.622640092456223,0.2618067575353576,-0.3042007931600551,0.2,401360000.0,24.298635200318916,4.859727040063785
